Address,Name Tag,Balance,Txn Count
0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,Poloniex: BNT,17.01527369 Ether,"1,718"
0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Poloniex: CVC,13.97043066 Ether,"29,718"
0x6b71834d65c5c4d8ed158d54b47e6ea4ff4e5437,Poloniex: FOAM,8.44585386 Ether,"1,148"
0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,Poloniex: GNO,31.50902903 Ether,"44,195"
0x0536806df512d6cdde913cf95c9886f65b1d3462,Poloniex: GNT,9.51414785 Ether,"163,969"
0x8d451ae5ee8f557a9ce7a9d7be8a8cb40002d5cb,Poloniex: KNC,5.4752232 Ether,"1,956"
0xbd2ec7c608a06fe975dbdca729e84dedb34ecc21,Poloniex: LOOM,3.85768948 Ether,"2,011"
0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,Poloniex: MANA,7.10787382 Ether,"1,376"
0x65f9b2e4d7aaeb40ffea8c6f5844d5ad7da257e0,Poloniex: NXC,8.9859314 Ether,"26,886"
0x36b01066b7fa4a0fdb2968ea0256c848e9135674,Poloniex: OMG,9.19920627 Ether,"48,648"
0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,Poloniex: REP,6.50240376 Ether,"94,313"
0x6795cf8eb25585eadc356ae32ac6641016c550f2,Poloniex: SNT,12.58157597 Ether,"1,695"
0xfbf2173154f7625713be22e0504404ebfe021eae,Poloniex: STORJ,4.57187835 Ether,"24,640"
0x6f803466bcd17f44fa18975bf7c509ba64bf3825,Poloniex: USDC,2.8906492 Ether,"19,438"
0xead6be34ce315940264519f250d8160f369fa5cd,Poloniex: ZRX,4.18574033 Ether,"83,255"
0xd344539efe31f8b6de983a0cab4fb721fc69c547,QuantaEx 1,0.1 Ether,1
0x5ca39c42f4dee3a5ba8fec3ad4902157d48700bf,QuantaEx 2,0.875706 Ether,2
0x2a048d9a8ffdd239f063b09854976c3049ae659c,QuantaEx 3,0.02468156 Ether,636
0xb8cf411b956b3f9013c1d0ac8c909b086218207c,Remitano 1,571.26972538 Ether,"78,776"
0x2819c144d5946404c0516b6f817a960db37d4929,Remitano 2,"16,314.69747863 Ether","544,977"
0x13f64609bf1ef46f6515f8cd3115433a93a00dc6,Saturn Network,13.74203421 Ether,"12,092"
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,ShapeShift 1,21.28576604 Ether,"67,303"
0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift 2,0.00068755 Ether,"103,239"
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift 3,"3,412.04410562 Ether","2,271,696"
0x563b377a956c80d77a7c613a9343699ad6123911,ShapeShift 4,302.78327261 Ether,"371,422"
0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift 5,417.46730216 Ether,"352,511"
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,ShapeShift 6,459.9222572 Ether,"349,295"
0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift 7,402.09569983 Ether,"371,888"
0x91f6d99b232153cb655ad3e0d05e13ef505f6cd5,Sparrow Exchange 1,105.36532309 Ether,986
0xe855283086fbee485aecf2084345a91424c23954,Sparrow Exchange 2,28.0634 Ether,790
