,address,token_name,usd_market_cap,n_holders,website
129,0x3610D80Ef3E2CA614b940A43B8B3ADD4FD09A61B,Battle Gate (Battle Gate),0.0,,
130,0x35309E0e5e86902FbD53D2d0C2f25da9f3842dB3,BRRR.fi 50x v2 (BR10X),0.0,6.0,
131,0x7C743517f34daEfc6477D44b0a2a12dE6fA38Ea2,! Uniswapv3LP.com ! (Uniswapv3LP.com),0.0,14401.0,
132,0x85E14ae950f7C0C03BaF84E0D175e11951399e35,$ UNIClaimV2.com (UNIClaimV2.com),0.0,8001.0,
133,0xB639687c6768ab33996541d05948dD621A012503,Discord DAO (Discord),0.0,453.0,
134,0x71BFc09B2DE5628FA806e7d608368193978480F2,Louis Vuitton (LV),0.0,,
135,0xcC1CE5c8763f3046dE155926C39bebB0f9365995,polkaswap.io (PSWAP),0.0,10.0,
136,0x076e86F9F61b4f5C374b114D0d8ecb85481e6956,LEGO.com (LEGO),0.0,122.0,
137,0xCd0827753B04aEb7E8958928dB1B7f1d1F1C928E,Coca-Cola (CocaCola),0.0,,
138,0xB319dDFADAC89A05E3013F8c2194A2Fb5d0C5012,Spam Token,0.0,,
139,0x228DF44f99C9Fa9A311Bcf43b02381bB2be9E83d,meta.com (META),0.0,102.0,
140,0xf0155659Ab6d12C3cd5C117dCfd80cC6BfaD10c1,ShibaClaim.com (SHIB),0.0,,
141,0xC8FCF92e0Ad8D545BF5709Bb5BA2be5FAfDFe85b,Ethereum Name Service (ENS),0.0,107.0,
142,0x3E4b3AdEBcb2dC9d8d7615f232Ee782514FE53e3,NFKings INU (NFKings),0.0,28.0,
143,0xedD6B61a2E060A6f3D701b6cDAc05F80CAC15D5a,Nexon Metaverse (Nexon),0.0,414.0,
144,0xdc57D32EA1c49C30244E85077024B13E9305803c,Mercedes Benz (Benz),0.0,,
145,0x026d440e742E2E4E94ce0651EA7215E181652c68,Spam Token,0.0,156.0,
146,0x6081cdA8393553684D3fD38A460cE9c5670213B6,Tom Sachs Rocket Factory (Rocket),0.0,,
147,0x607C36B7395236420ad34963129b9149910a1BE1,Rolex (Rolex),0.0,,
148,0x66455FEE0753Cb357bf689Ff7314D99757167D44,Memeland by 9GAG ($MEME),0.0,,
149,0x65088f603a0998876EFe5a786fa64eE13E667E0b,twitter.com/AdexToken (📈ADEX),0.0,36.0,
150,0x65088f603a0998876EFe5a786fa64eE13E667E0b,twitter.com/AdexToken (📈ADEX),0.0,36.0,
151,0xDa422d8106C3A6F702367994898F2202724CC7De,Invisible (INV),0.0,,
152,0x1d95FBC578dC0d565Fd02ac5a1CfC5490e592def,Coca Cola (CocaCola),0.0,,
153,0x2f28755A4f7d85fdd53185cc4c9e5fc182B8F8e0,InvisibIe Friends (INVSBLE),0.0,,
154,0x2AA830A75148691fE09E1A092cF4D6cADb0dFF08,3D Penguins Castle (PGCT),0.0,,
155,0x4a7DcC87841D2CF168fCC9D4e5EE0C23c3645039,MEMELAND POTATOZ memelandpotatoz.co... (POTATOZ),0.0,,
156,0x129D67BC60732cABcf9b6c244c5B0F886b9038b3,Rolex (Rolex),0.0,,
157,0xef897b87E2D91E8a548b61AB064602425f451723,Spam Token,0.0,,
158,0x1529D38ec383c9157d2547456428735e1e9898Bb,Netflix Metaverse (Netflix),0.0,482.0,
159,0x263855ebFe85a1532fFD3EF21deE111378bE8514,Yearn Ecosystem Token Index (YeTI),0.0,12.0,
160,0x39cf57b4dECb8aE3deC0dFcA1E2eA2C320416288,$ AaveReward.com ($ AaveReward.com),0.0,31819.0,
161,0xF3096453e2500061364CEF1E3bC2E65f564CcAD0,ETHCLASSIC (ETHC),0.0,10.0,
162,0x45f42bea2451C0d48a34c4eF88CB240b6cE25486,Gmail Metaverse (Gmail),0.0,440.0,
163,0xfBa4e75a05c132f313119Eb8945e9adA4F6CA97F,aWETH.io (aWETH.io),0.0,28262.0,
164,0x64F0D720CE8B97ba44cd002005d2dFA3186C0580,YYFI.finance (YYFI),0.0,371.0,
165,0x7fD8e51ea7C721Ab3b600c3bE8257D89666C4659,Imaginary Ones (IMAGINARY),0.0,,
166,0xBf5fB1563ef58ba41325454ca61Cc3D62bd40744,aWETH.io (aWETH.io),0.0,28176.0,
167,0x66455FEE0753Cb357bf689Ff7314D99757167D44,Memeland by 9GAG ($MEME),0.0,,
168,0x6d891e4a4feb151D6481479a7D57df36B4b298B5,USD Coin (USDC),0.0,73.0,
169,0xE76d126EAbc276955F83ef9Df0A139b7d86cb78f,MEMELAND by 9GAG (MEMELAND),0.0,,
170,0x0fB1b5606783ec7AA1AA393e161395a47b08D448,$ StrongV3.com (StrongV3.com),0.0,11001.0,
171,0x2B667d0c20a206E1a4e9A4874aECC8F5fafbfC8B,Choise.com (CHO),0.0,18.0,
172,0x3506b7EFF28E41ff0746a432897777973cfb2D46,League of Legends (LOL),0.0,430.0,
173,0xbB3530aC51DEd9c48Bb74da82E803Cfa334500EA,Wrapped Arbitrum Token (AB),0.0,32.0,
174,0xd4F7466b52eDDB4bF20c520fBe308b0961659B03,Spam Token,0.0,,
175,0x609e209846E3cd2363905df9fd85CB4b47a0755E,Mineral Gate (Mineral Gate),0.0,,
176,0x8e10f088e0a046b2467F89114520381F2b5d7873,Uniswap V2 (UNI-V2),0.0,1.0,
177,0xcb944F73698f85fABa8C8dC2FDc8e81Ef1Ae9dc9,$$ UniswapLP.org ($$ UniswapLP.org),0.0,21.0,
178,0x5c8abE1E0b004595C6E945d5Adb3CEa2debe3cDF,fees.wtf DAO (FEES),0.0,55.0,
179,0x3388bbD7c53FaEe1b7AB2661aF7f0A0884eCFE8B,Tiffany & Co. Metaverse (Tiffany),0.0,24.0,
180,0x6Eff949d9a4E7725D3EE3b894CeAA2813b7437E5,Marlin Protocol (MARL),0.0,3.0,
181,0xD6419B371c4185A8b101144CEa97e855023f6179,Prime Ape Planet (PrimeApePlanet),0.0,,
182,0x44f9EBEB2E8c4FF3b247E1CA93AF967b243B7A2a,ETH (TH),0.0,,
183,0x076e86F9F61b4f5C374b114D0d8ecb85481e6956,LEGO.com (LEGO),0.0,122.0,
184,0x95274973BA66B9c34f06762e99C2685C6E7FeE61,Spam Token,0.0,10800.0,
185,0xD6cc89EF815CFd8F30E3Fe8319B3983351C93d31,Louis Vuitton Watch (LV Watch),0.0,,
186,0x2ca37ad1B2385F4E2D077ff5ae0A1a842233FA9E,Azuki X BAYC (ABAYC),0.0,,
187,0x4f0c3774047Bd03fd9bfb53e5FaAdc469ADC6e53,walmart.com (WALMART),0.0,5.0,
188,0x6ce283B9fFB91A05fCAA6904bCc69032544167db,Opyn ETH Call $800 12/25/20 (oETH Call $800 12/25/20),0.0,295.0,
189,0xeDA0785EBbbA90BF1aC4A1Cc07fBF9c9452c0dB8,ENS DAO TOKEN (ENS),0.0,9.0,
190,0x1ceD055917C1c5A4d7Aa14B05C6bd09B2B1e6f17,Coca Cola (CocaCola),0.0,,
191,0x47eC3dD8fe054B51A262fcC7CCe0bD127D44Ca4b,Louis Vuitton Watch (LV Watch),0.0,,
192,0x79E28533f36ED6ADC19Ecdd98EAD6AcB1e26a41e,Bentley Metaverse (Bentley),0.0,348.0,
193,0x78E95cF415e36bA5547A46DF5b270811d7aC7b8e,othermetaYC.com (othermetaYC.com),0.0,,
194,0x35e93c60b9f0B9D85933e48434Ba9Ccd970C7a4E,Spam Token,0.0,,
195,0xBeb0887c1ec4D95813277778c1ec2D68F339a5FE,Coca-Cola (CocaCola),0.0,,
196,0x2e5E0dd695f1Abf59Ca3592DC9A669cDB8379Ff8,LP (Univ3LP.org),0.0,8000.0,
197,0x341fE0DcD9BC5b90270564695CD0D98500a9FdB3,bitclout.com (DESO),0.0,30.0,
198,0x3edf7142ac682a3DCB9455646500a97AB9FCa1e3,PornHub.com (PORN),0.0,3.0,
199,0x52b416E284303B223Cda59Ccb3D6fE0e422Ceb3B,Rolex (Rolex),0.0,,
200,0x230Bc0478b5B259Ebc7eEe449b6495CbB8fDb368,Eth2Fork.com (Eth2Fork.com),0.0,18624.0,
201,0x14f1495e78FdF6733E4f340798a5822Daf7Ba3aF,Meebits Token (MeebitsDao.io),0.0,162.0,
202,0xF409CcE59A0cf0d889E00092192B1710F0D9E5da,Dejitaru Tsuka (TSUKA),0.0,1.0,
203,0xAF5e372a6b8F504b5cB3ce1Ea03c822adAB13C9A,memelandpotatoz.com (POTATOZ),0.0,,
204,0xFBcf72e38325a9fA14d4d4D6eC3a7471A312fcEe,$ (LPLido.com),0.0,6801.0,
205,0x7FD0947bDa0477871C6b4Cc0F6257d1996773758,Burberry (Burberry),0.0,,
206,0xa42d025be7fddf6E4a922fAEE60BB032273cf8C8,Spam Token,0.0,,
207,0xd2d64D3758928A09448D6A865B8bd5F325777876,Yearn Ecosystem Token Index (YETI),0.0,7.0,
208,0x7cd0341D749D9eDC352fA9899D0a8e07a955038F,Spam Token,0.0,834.0,
209,0x8bff7FE300ECE8B8FDd92ccF5691b3b7b17a542f,TerraOptimismToken (ToT),0.0,15.0,
210,0xf18C25C48834b440549B8768aC682117C824bD16,notasecretproject (SCRT),0.0,,
211,0xEFA617eaC614819b9cF9B6a1cbF7193D6004133c,ADIDAS (ADIDAS),0.0,,
212,0xC3f8c113d281c4be9f29E04Eb6B706858Df93536,Binance-Peg EthereumW Token (ETHW),0.0,,
213,0x49C5cd3B1aD9718dB6e275B1B3D81C459CB59a6A,Nexus Mutual (NXM),0.0,8.0,
214,0xe44c8Ee0622647D2563a8B2732941772328a751b,Imaginary Ones (Imaginary Ones),0.0,548.0,
215,0x533ac2D0d9c2aB84402aa95d5Ce68e7a3f17F83b,$ Uniswapxx.com ($ Uniswapxx.com),0.0,3.0,
216,0x07411d08c20ea86e238Cf5fB51a4A5639A8629eC,ETHPoW (IOU) (ETHW),0.0,3.0,
217,0x00000a9F233D0b3EBBF136276165429d071D1aBf,Wrapped Ether (Gas Optimized) (WETH),0.0,8.0,
218,0xA36Ceec605d81aE74268Fda28A5c0Bd10b1D1f7C,AaveLP.com (AaveLP.com),0.0,5104.0,
219,0xe7a441287186cEa1911F269982650b965AeEa6A0,mercedesbenznft.com (MERCEDES),0.0,,
220,0xf6fB2990b216b49D5959991be7c3D361A3A798E3,DuPont Metaverse (DuPont),0.0,412.0,
221,0x1ACEC01bFEC1eBcF273728F7f15d23CFb5C4061b,SeaPort (SEA),0.0,99.0,
222,0xF70DAA78237e29DCC70eedd4237620d9A63d9243,Coca-CoIa (CocaCoIa),0.0,,
223,0x16b3Dd2970AD3F19C6068C65777530830d33773E,SFAr.io (SFA),0.0,30399.0,
224,0x76De271DEb865343A458a3F1E08534A3f5b42843,$ (LPLido.com),0.0,10801.0,
225,0x688B56C0740658f9Ed2244B56a23F93F409A6a96,fees.wtf (FEESWTF),0.0,13.0,
226,0x00aA5D5EdD6Ef6f99B801326F5436EE9D61564d6,$ TetherClaims.com (TetherClaims.com),0.0,1.0,
227,0x83c624fDda1b4df6F72151Ff4cb6A23569768918,AlphaKongs (AK),0.0,,
228,0x870CBbD204D5e2317c60374888e4b6be3BFA092B,Tellor (TRB),0.0,3.0,
229,0x77B25667e5258305Dcaab7E0a21D068c5a3c7eB1,Imaginary Ones (IMAGINARY),0.0,,
230,0xf3F7ff5ECA95C90A932E9F6F7A6de94C13f3E2B5,ETHW (ETHW),0.0,20.0,
231,0xc0e92aa834f7aa5d5353d853Aa08b3aD2b7DEE55,LooksDrop.com (LOOKSDROP.COM),0.0,,
232,0x71FdF1Bbb9F166FBCC4fDc73d696999FA4D8e4a2,! v3LPUniswap.com ! (v3LPUniswap.com),0.0,14401.0,
233,0x5Dc5eb026a3c252bEb33B4E264aC079eF7FdE7Ee,Mask.io (MASK),0.0,13.0,
234,0x8d7D44451dc8508e5F932Aee03425902e9802CCb,memelandpotatoz.com (MEMELANDPOTATOZ),0.0,,
235,0x8Edd63209488090B8e14b0Dc3317ec977a68f780,_ UniswapV4.com _ (UNI-V4),0.0,201.0,
236,0x4d9cce628213a45650567EaC58D37992032643f2,Murakami flowers (MuraFlower),0.0,,
237,0xc55b61b5a082f215Ad3dC7388B89e390D601bf47,Nintendo (Nintendo),0.0,,
238,0xB801a7e24F523492b1d89c0865eFDC0c7E04194B,meta.com (META),0.0,86.0,
239,0xe0f371f52eBde57cB793f9e64E6c3Ef0E8B9E846,https://www.xdaichain.com/ (xDAI),0.0,16.0,
240,0x76175599887730786bdA1545D0D7AcE8737fEBB1,ENS DAO (ENS),0.0,53.0,
241,0x000875cd6125a5c2C5bbb17791e690df9a6d6000,Spam Token,0.0,115.0,
242,0xC5A722Ff544360AEdC2661756349F5A217F3C2C8,Costco Metaverse (Costco),0.0,359.0,
243,0xB595E051d166FcC968B7fc3c3C09f873a2B851aE,Mercedes Benz (Benz),0.0,,
244,0x1e891E6c7EA7A7c32d4b9643B90b8a9Fa313C77f,Sudoswap Governance Token (XSUDO),0.0,86.0,
245,0x142EAbA1ACe3649AFbb2eB0fe2133a0cAF984e77,Spam Token,0.0,6339.0,
246,0x3a27d284f59e36555AC443143818969BbD15a137,https://solana.com/ (Solana),0.0,20.0,
247,0x00a4D8e91D92595972eA5810537d87eb664F5bcD,Badlanders (Badlanders),0.0,,
248,0xc85E0474068dbA5B49450c26879541EE6Cc94554,Spam Token,0.0,30574.0,
