address,name_tag,ether_balance,txn_count,etherscan_address_dataset_reported,token_name,usd_market_cap,n_holders,is_token,etherscan_token_dataset_reported,cryptoscamdb_reported
0x093fAd33c3Ff3534428Fd18126235E1e44fA0d19,Fake_Phishing4700,0.0,63.0,True,,,,,False,False
0x4D9F1714363D4cBdDFEC9b8F8469df594b2368D5,Fake_Phishing4725,0.0,19.0,True,Zerion (ZRO),0.0,202.0,True,True,False
0xE91843ED2071f12cb4D3189742D40668A6ab789D,Fake_Phishing4726,0.0,46.0,True,Ribbon Finance (rBON),0.0,299.0,True,True,False
0x800D2b0cdfbeBf9437565B0bB7426fD2E796B9CD,Fake_Phishing4734,0.0,6.0,True,,,,,False,False
0x4C334F280F9e440788b66C4E5260C03E4477267A,Fake_Phishing4735,0.0,52.0,True,,,,,False,False
0x3C0470b476aA3bF615Bc828a6B2006AAbAB440Da,Fake_Phishing4740,0.0,54.0,True,,,,,False,False
0xb7C06096b7cf4622AE0da4ebc929649463C8692f,Fake_Phishing4750,0.0,28.0,True,,,,,False,False
0x414BCA672494B8F078112c52ae258F9e8De1A4a0,Fake_Phishing476,0.0,4.0,True,,,,,False,True
0xb101F0EB0a8938769D4c3fd4F933B11627CA3768,Fake_Phishing4780,0.0,565.0,True,,,,,False,False
0x02745AD75E786f0B2efbD99504E22C3CaCe354c1,Fake_Phishing4849,0.0,51.0,True,,,,,False,False
0xCeA855fA322F01F15a965F55cC6cDEaDb9AE59f7,Fake_Phishing4862,0.0,64.0,True,,,,,False,False
0xfb5C7AA982ebcEd4384eeC4d5e732A28759ebDF8,Fake_Phishing4866,0.0,4.0,True,,,,,False,False
0x0fD4E58aBacbB7339695a3D8Ef53DC9BeAd3D15E,Fake_Phishing4903,0.0,3.0,True,,,,,False,False
0x52E8EbF98Ef95D373d29041182830BF13c52588F,Fake_Phishing4904,0.0,91.0,True,,,,,False,False
0x820FA2199B16a32C8Dd28641Ed3cA85388b1Ed04,Fake_Phishing4905,0.0,16.0,True,,,,,False,False
0xC106a08f553486985005F4721Ef1611C3798E0bE,Fake_Phishing4906,0.0,15.0,True,,,,,False,False
0x5a907E5B94987c46e2FD51B01a7Dd651248367A0,Fake_Phishing4910,0.0,1.0,True,,,,,False,False
0x0AaBEbdabC7640410Af5d901d4e460F174A4C946,Fake_Phishing4912,0.0,79.0,True,,,,,False,False
0x8D9621943cAF6081D2745394A1d23Da9a963F049,Fake_Phishing4925,0.0,32.0,True,Axie Governance Token (AXG),0.0,423.0,True,True,False
0x65088f603a0998876EFe5a786fa64eE13E667E0b,Fake_Phishing4930,0.0,19.0,True,twitter.com/AdexToken (📈ADEX),0.0,36.0,True,True,False
0x34278F6f40079eae344cbaC61a764Bcf85AfC949,Fake_Phishing4953,0.0,624.0,True,FF9.io (FF9.io),0.0,106102.0,True,True,True
0x2CEeE24f8D03fC25648c68C8e6569AA0512F6Ac3,Fake_Phishing4954,0.0,278.0,True,Spam Token,0.0,51760.0,True,True,True
0xa4f5Dd69Db954c71587173De7d5D7DD330111766,Fake_Phishing4955,0.0,25.0,True,UMBRA CASH (UMBRA),0.0,83.0,True,True,False
0x76175599887730786bdA1545D0D7AcE8737fEBB1,Fake_Phishing4962,0.0,18.0,True,ENS DAO (ENS),0.0,53.0,True,True,False
0xeDA0785EBbbA90BF1aC4A1Cc07fBF9c9452c0dB8,Fake_Phishing4963,0.0,11.0,True,ENS DAO TOKEN (ENS),0.0,9.0,True,True,False
0xC8FCF92e0Ad8D545BF5709Bb5BA2be5FAfDFe85b,Fake_Phishing4964,0.0,11.0,True,Ethereum Name Service (ENS),0.0,107.0,True,True,False
0x6a7C5CC282A0A437Eb6D7Dc5BEB304f961ac6411,Fake_Phishing4965,0.0,56.0,True,meta.com (META),0.0,144.0,True,True,False
0x003Eb9C77B5B896fcC27aDEAd606d23DeF34510e,Fake_Phishing4966,0.0,89.0,True,Ethereum Name Service (ENS),0.0,136.0,True,True,False
0x77Fd8020284A592BC782EBd05b693d7FE1cc614E,Fake_Phishing4974,0.0,13.0,True,Temple (TEMPLE),0.0,30.0,True,True,False
0x1C3e61c8825Bf58303B1ac3350843FaA01dE22bd,Fake_Phishing4975,0.0,60.0,True,,,,,False,False
0x671167fFA438C87F134395d68b820d5a42202214,Fake_Phishing4978,0.0,24.0,True,OpenSea (OS),0.0,17.0,True,True,False
0x96036E9b51f03CabB6fe30daad1544a73f795eFc,Fake_Phishing4979,0.0,909.0,True,,,,,False,False
0xE460f3E0AdC58357ea5E3AC1D839611DEE826354,Fake_Phishing4993,0.0,20.0,True,Boba Token (BOBA),0.0,283.0,True,True,False
0x3fCB2D173389b7CD8079Ef8B439dBd92e7E0AE28,FAKE_Phishing50,0.0,28.0,True,,,,,False,True
0x1412ECa9dc7daEf60451e3155bB8Dbf9DA349933,Fake_Phishing5000,0.0,533.0,True,A68.net (A68.net),0.0,69580.0,True,True,False
0x6D38b496dCc9664C6908D8Afba6ff926887Fc359,Fake_Phishing5020,0.0,47.0,True,Gearbox (GEAR),0.0,81.0,True,True,False
0x5c8abE1E0b004595C6E945d5Adb3CEa2debe3cDF,Fake_Phishing5030,0.0,29.0,True,fees.wtf DAO (FEES),0.0,55.0,True,True,False
0xF9d25EB4C75ed744596392cf89074aFaA43614a8,Fake_Phishing5034,0.0,1529.0,True,Up1.org (Up1.org),0.0,61219.0,True,True,False
0x16b3Dd2970AD3F19C6068C65777530830d33773E,Fake_Phishing5103,0.0,555.0,True,SFAr.io (SFA),0.0,30399.0,True,True,False
0x9A925F57baCDef5cA5d13ecF08bA9EE55A9B0585,Fake_Phishing5106,0.0,37.0,True,,,,,False,False
0x609e209846E3cd2363905df9fd85CB4b47a0755E,Fake_Phishing5107,0.0,29.0,True,Mineral Gate (Mineral Gate),0.0,,True,True,False
0x3610D80Ef3E2CA614b940A43B8B3ADD4FD09A61B,Fake_Phishing5108,0.0,20.0,True,Battle Gate (Battle Gate),0.0,,True,True,False
0x7BCf0668ff60A2CB83F04fBee94838eD1f394893,Fake_Phishing5132,0.0,22.0,True,,,,,False,False
0x4ab16CDc82a4eA4727Ab40caee1bb46622C13641,Fake_Phishing5168,0.0,26.0,True,Sablier: Governance Token (SABLIER),0.0,245.0,True,True,False
0xa2c0946aD444DCCf990394C5cBe019a858A945bD,Fake_Phishing5176,0.0,24.0,True,,,,,False,False
